iter	Passed	Remaining
532	605	530
533	607	529
534	608	529
535	609	528
536	610	526
537	611	525
538	612	524
539	613	522
540	614	521
541	615	520
542	616	518
543	617	517
544	617	515
545	619	514
546	621	514
547	622	513
548	623	512
549	624	511
550	625	509
551	626	508
552	627	507
553	628	505
554	629	504
555	629	503
556	630	501
557	631	500
558	632	498
559	633	497
560	635	497
561	637	496
562	638	495
563	640	494
564	641	493
565	641	492
566	643	491
567	643	489
568	644	488
569	645	487
570	646	485
571	647	484
572	648	483
573	650	482
574	651	481
575	653	480
576	654	479
577	655	478
578	656	477
579	657	475
580	659	475
581	660	474
582	660	472
583	661	471
584	662	470
585	664	469
586	666	468
587	667	467
588	668	466
589	669	465
590	670	464
591	671	462
592	672	461
593	673	460
594	674	458
595	674	457
596	675	456
597	677	455
598	678	454
599	680	453
600	681	452
601	682	451
602	683	450
603	684	449
604	686	447
605	687	446
606	688	445
607	689	444
608	690	443
609	691	442
610	693	441
611	695	441
612	697	440
613	698	439
614	699	437
615	700	436
616	701	435
617	702	434
618	703	432
619	704	431
620	705	430
621	706	429
622	708	428
623	709	427
624	711	426
625	712	425
626	713	424
627	714	423
628	715	421
629	716	420
630	717	419
631	717	417
632	718	416
633	719	415
634	720	414
635	722	413
636	723	412
637	725	411
638	726	410
639	727	409
640	728	407
641	729	406
642	730	405
643	731	404
644	732	402
645	732	401
646	733	400
647	734	399
648	736	398
649	738	397
650	739	396
651	740	395
652	741	394
653	742	392
654	743	391
655	744	390
656	746	389
657	747	388
658	748	387
659	748	385
660	750	384
661	751	383
662	753	382
663	754	381
664	755	380
665	756	379
666	757	378
667	758	377
668	759	375
669	760	374
670	761	373
671	762	372
672	763	370
673	764	369
674	765	368
675	767	367
676	768	366
677	769	365
678	771	364
679	772	363
680	773	362
681	774	361
682	775	359
683	776	358
684	777	357
685	778	356
686	780	355
687	781	354
688	783	353
689	784	352
690	785	351
691	786	350
692	787	349
693	788	347
694	790	346
695	791	345
696	792	344
697	793	343
698	794	342
699	796	341
700	797	340
701	798	339
702	799	337
703	800	336
704	801	335
705	802	334
706	803	333
707	804	331
708	805	330
709	806	329
710	807	328
711	808	327
712	810	326
713	812	325
714	813	324
715	814	323
716	815	321
717	816	320
718	817	319
719	818	318
720	819	317
721	820	315
722	821	314
723	822	313
724	824	312
725	825	311
726	826	310
727	827	309
728	828	308
729	829	306
730	830	305
731	831	304
732	832	303
733	833	301
734	834	300
735	835	299
736	835	298
737	837	297
738	839	296
739	840	295
740	841	294
741	842	292
742	843	291
743	844	290
744	845	289
745	846	288
746	847	287
747	848	285
748	849	284
749	850	283
750	852	282
751	854	281
752	856	280
753	857	279
754	858	278
755	859	277
756	860	276
757	861	275
758	862	273
759	863	272
760	865	271
761	867	270
762	868	269
763	870	268
764	871	267
765	872	266
766	873	265
767	874	264
768	875	262
769	876	261
770	877	260
771	878	259
772	879	258
773	880	257
774	882	256
775	884	255
776	885	254
777	886	252
778	887	251
779	888	250
780	889	249
781	890	248
782	891	247
783	892	245
784	893	244
785	894	243
786	895	242
787	897	241
788	899	240
789	900	239
790	902	238
791	903	237
792	904	236
793	905	234
794	906	233
795	907	232
796	909	231
797	910	230
798	912	229
799	913	228
800	914	227
801	915	226
802	917	225
803	918	223
804	919	222
805	920	221
806	921	220
807	922	219
808	923	217
809	924	216
810	926	215
811	927	214
812	929	213
813	930	212
814	931	211
815	932	210
816	933	209
817	934	208
818	936	206
819	937	205
820	938	204
821	939	203
822	942	202
823	943	201
824	945	200
825	946	199
826	947	198
827	948	196
828	949	195
829	950	194
830	951	193
831	952	192
832	953	191
833	955	190
834	957	189
835	958	188
836	959	186
837	961	185
838	962	184
839	963	183
840	964	182
841	965	181
842	966	179
843	967	178
844	968	177
845	971	176
846	972	175
847	973	174
848	974	173
849	975	172
850	976	171
851	977	169
852	978	168
853	979	167
854	980	166
855	981	165
856	982	163
857	983	162
858	985	161
859	987	160
860	988	159
861	989	158
862	990	157
863	991	156
864	992	154
865	993	153
866	994	152
867	995	151
868	996	150
869	997	149
870	999	148
871	1000	146
872	1001	145
873	1002	144
874	1003	143
875	1004	142
876	1005	141
877	1006	139
878	1007	138
879	1008	137
880	1008	136
881	1009	135
882	1010	133
883	1012	132
884	1013	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1019	126
890	1020	124
891	1021	123
892	1022	122
893	1023	121
894	1024	120
895	1025	118
896	1026	117
897	1028	116
898	1029	115
899	1030	114
900	1031	113
901	1032	112
902	1033	111
903	1034	109
904	1035	108
905	1036	107
906	1036	106
907	1037	105
908	1038	103
909	1039	102
910	1040	101
911	1041	100
912	1043	99
913	1044	98
914	1046	97
915	1047	96
916	1048	94
917	1049	93
918	1050	92
919	1051	91
920	1052	90
921	1053	89
922	1054	87
923	1055	86
924	1056	85
925	1058	84
926	1059	83
927	1060	82
928	1060	81
929	1061	79
930	1062	78
931	1063	77
932	1064	76
933	1065	75
934	1066	74
935	1067	72
936	1068	71
937	1068	70
938	1069	69
939	1071	68
940	1073	67
941	1074	66
942	1075	65
943	1076	63
944	1077	62
945	1078	61
946	1079	60
947	1080	59
948	1081	58
949	1082	56
950	1083	55
951	1084	54
952	1086	53
953	1088	52
954	1089	51
955	1090	50
956	1091	49
957	1092	47
958	1093	46
959	1094	45
960	1095	44
961	1096	43
962	1097	42
963	1098	41
964	1099	39
965	1101	38
966	1103	37
967	1104	36
968	1105	35
969	1106	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1111	28
975	1112	27
976	1113	26
977	1115	25
978	1117	23
979	1119	22
980	1120	21
981	1121	20
982	1122	19
983	1123	18
984	1124	17
985	1125	15
986	1127	14
987	1129	13
988	1131	12
989	1133	11
990	1134	10
991	1135	9
992	1136	8
993	1137	6
994	1138	5
995	1138	4
996	1140	3
997	1141	2
998	1142	1
999	1143	0
